name	type	start_time	duration	data
Async Serial	data	27.7212322	0.00016493	0xD1
Async Serial	data	27.72140581	0.00016493	0x7F
Async Serial	data	28.037554406	0.00016493	0xFF
Async Serial	data	28.037736448	0.00016493	0xFF
Async Serial	data	28.03791006	0.00016493	0xFD
Async Serial	data	28.038083672	0.00016493	0x00
Async Serial	data	28.038257282	0.00016493	0x02
Async Serial	data	28.038430894	0.00016493	0x09
Async Serial	data	28.038604504	0.00016493	0x00
Async Serial	data	28.038778116	0.00016493	0x55
Async Serial	data	28.038951726	0.00016493	0x00
Async Serial	data	28.039125338	0.00016493	0x4E
Async Serial	data	28.03929895	0.00016493	0x14
Async Serial	data	28.03947256	0.00016493	0x98
Async Serial	data	28.039646172	0.00016493	0x74
Async Serial	data	28.039819782	0.00016493	0x4F
Async Serial	data	28.039993394	0.00016493	0x5D
Async Serial	data	28.040167004	0.00016493	0xA4
Async Serial	data	31.218281406	0.00016493	0xFF
Async Serial	data	31.218455036	0.00016493	0xFF
Async Serial	data	31.21862868	0.00016493	0xFD
Async Serial	data	31.218802326	0.00016493	0x00
Async Serial	data	31.21897597	0.00016493	0xB9
Async Serial	data	31.2191496	0.00016493	0x06
Async Serial	data	31.219323244	0.00016493	0x00
Async Serial	data	31.21949689	0.00016493	0x03
Async Serial	data	31.219670534	0.00016493	0x41
Async Serial	data	31.219844164	0.00016493	0x00
Async Serial	data	31.220017808	0.00016493	0x01
Async Serial	data	31.220191454	0.00016493	0x4C
Async Serial	data	31.2203651	0.00016493	0x55
Async Serial	data	31.221508584	0.00016493	0xFF
Async Serial	data	31.221682194	0.00016493	0xFF
Async Serial	data	31.2218558	0.00016493	0xFD
Async Serial	data	31.22202941	0.00016493	0x00
Async Serial	data	31.222203016	0.00016493	0xB9
Async Serial	data	31.222376626	0.00016493	0x04
Async Serial	data	31.222550234	0.00016493	0x00
Async Serial	data	31.222723842	0.00016493	0x55
Async Serial	data	31.222897452	0.00016493	0x00
Async Serial	data	31.22307106	0.00016493	0xE1
Async Serial	data	31.223244668	0.00016493	0x3B
Async Serial	data	31.43941348	0.00016493	0xFF
Async Serial	data	31.439587128	0.00016493	0xFF
Async Serial	data	31.439760774	0.00016493	0xFD
Async Serial	data	31.439934402	0.00016493	0x00
Async Serial	data	31.440108046	0.00016493	0xB9
Async Serial	data	31.440281692	0.00016493	0x06
Async Serial	data	31.440455336	0.00016493	0x00
Async Serial	data	31.440628966	0.00016493	0x03
Async Serial	data	31.44080261	0.00016493	0x41
Async Serial	data	31.440976256	0.00016493	0x00
Async Serial	data	31.441149902	0.00016493	0x00
Async Serial	data	31.44132353	0.00016493	0x49
Async Serial	data	31.441497176	0.00016493	0xD5
Async Serial	data	31.44263366	0.00016493	0xFF
Async Serial	data	31.442807268	0.00016493	0xFF
Async Serial	data	31.442980876	0.00016493	0xFD
Async Serial	data	31.443154484	0.00016493	0x00
Async Serial	data	31.443328092	0.00016493	0xB9
Async Serial	data	31.443501702	0.00016493	0x04
Async Serial	data	31.44367531	0.00016493	0x00
Async Serial	data	31.443848918	0.00016493	0x55
Async Serial	data	31.444022528	0.00016493	0x00
Async Serial	data	31.444196136	0.00016493	0xE1
Async Serial	data	31.444369744	0.00016493	0x3B
Async Serial	data	31.649467252	0.00016493	0xFF
Async Serial	data	31.649640882	0.00016493	0xFF
Async Serial	data	31.649814526	0.00016493	0xFD
